NIM;Kepulauan Asal Lahir;Jurusan Sekolah;Profil Sekolah;Jalur Pendaftaran;IPK1;IPK2;IPK3;IPK4;jumlah Matakuliah D/E/F;jumlah sks d/e/f;IPK 60 SKS;total sks semester 1-3;total SKS semester 1-4;Status
0504fdefa8a06c8f20611c9a4cfeeaa9;Jawa;SMA;SWASTA;TES;3.61;3.52;3.07;3.07;1;4;2.92;60;60;TIDAK SISIP
06e46cb47500d3028caa0126bb389781;Papua & Maluku;SMA;NEGERI;TES;2.94;2.85;2.82;2.79;0;0;3.02;60;82;TIDAK SISIP
073ea797a663643352574dbffec7bb4c;Jawa;SMA;NEGERI;TES;2.78;2.71;2.67;2.66;1;3;2.77;58;77;TIDAK SISIP
091f2a1bf2e76704d279f27ef2e357a1;Sumatera;SMA;NEGERI;RAPORT;3.17;3.28;3.18;3.14;0;0;3.33;60;79;TIDAK SISIP
092cc1ae4546e9a37c9e191f7929d8f9;Jawa;SMA;SWASTA;TES;3;3.03;2.98;2.96;0;0;3.08;58;79;TIDAK SISIP
0ba7ea712385ab1e5112c5121ff721e1;Sumatera;SMA;NEGERI;TES;3.39;3.42;3.27;3.33;0;0;3.48;60;79;TIDAK SISIP
0bf8043977a6cfe205835a890af8c3ba;Jawa;SMK;NEGERI;TES;3.56;3.58;3.67;3.62;0;0;3.78;60;79;TIDAK SISIP
0bfea50ecd75850706061576aa4f5568;Kalimantan;SMA;NEGERI;TES;3.72;3.87;3.91;3.89;0;0;3.85;58;79;TIDAK SISIP
0c09597da90719ad07540a50d6d078de;Papua & Maluku;SMA;NEGERI;RAPORT;2.73;2.78;2.79;2.97;0;0;3.16;58;79;TIDAK SISIP
0e3f406313b9980968a6f859ad43d17b;Kalimantan;SMA;NEGERI;RAPORT;3;2.88;2.95;3.13;0;0;3.32;60;79;TIDAK SISIP
0ef5dcbc51ed8063a33c5273fd911f0d;Kalimantan;SMA;SWASTA;TES;3.67;3.12;2.68;2.04;3;9;2.68;60;79;TIDAK SISIP
1075134b899af883dea85fcc17feb3b7;Jawa;SMA;NEGERI;TES;2.56;1.42;1.42;1.42;7;20;1.42;38;38;SISIP
12680bb4917f20b4c494e4b9e6cd0ba4;Jawa;SMA;SWASTA;RAPORT;2.72;2.92;2.87;2.86;0;0;3.05;61;80;TIDAK SISIP
13ec7c08810305434c881043a9257f5d;Jawa;SMA;SWASTA;TES;2.06;1.18;1.18;1.18;8;23;1.18;38;38;SISIP
16c530b3d9217fed68db987eb3183f5a;Sumatera;SMA;NEGERI;TES;3.69;3.71;3.81;3.77;0;0;3.79;60;79;TIDAK SISIP
1a799159d079c0cb80054f8739d9ef0a;Bali & NTT;SMA;SWASTA;TES;3.56;3.42;3.31;3.27;0;0;3.34;58;82;TIDAK SISIP
1a80902538d9eaa7b998b64cb8de3e18;Kalimantan;SMA;SWASTA;RAPORT;2.11;2.34;2.55;2.68;2;4;2.93;58;79;TIDAK SISIP
1bb402aadaccbb2ab1593af7b51789c4;Jawa;SMA;NEGERI;TES;3.17;2.78;2.73;2.42;2;6;2.85;60;79;TIDAK SISIP
1c3b12a0a47cfe8ddade65170a910afe;Jawa;SMK;NEGERI;RAPORT;2.83;2.7;2.7;2.7;1;2;2.70;40;40;SISIP
1ed2c4241d662e3ea0e9b9faa560b18e;Jawa;SMK;NEGERI;RAPORT;3.39;3.28;3.25;3.14;1;3;3.31;60;79;TIDAK SISIP
1fa8958b32c0a185133629c10ce95819;Sumatera;SMA;SWASTA;TES;2.5;2.21;1.76;1.36;8;23;1.72;58;77;SISIP
2161da6643db728bc56f38d25b0b3c93;Jawa;SMA;NEGERI;RAPORT;3.39;3.45;3.38;3.45;0;0;3.47;61;80;TIDAK SISIP
269766897f4cbcd35d6404e9aea07201;Jawa;SMK;NEGERI;TES;3.17;2.91;2.73;2.66;1;3;2.66;58;80;TIDAK SISIP
