kepulauan asal lahir;jurusan sekolah;profil sekolah;jalur pendaftaran;ipk1;ipk2;ipk3;jumlah matakuliah d/e/f;jumlah sks d/e/f;total sks semester 1-3;status
Jawa;SMA;Negeri;Raport;3.45;3.52;3.48;12;36;72;Tidak Sisip
Sumatra;SMK;Swasta;Tes;3.12;1;1;8;24;68;Sisip
Kalimantan;Homeschooling;Negeri;Raport;3.78;3.80;1;15;45;75;Tidak Sisip
Sulawesi;SMA;Swasta;Tes;2.95;3.00;3.05;6;18;65;Sisip
Papua;SMK;Negeri;Raport;1;3.55;1;10;30;70;Tidak Sisip
Bali;;Swasta;Tes;3.60;3.62;3.58;14;42;74;Sisip
Nusa Tenggara;SMA;Negeri;Raport;3.20;3.25;3.22;9;27;69;Tidak Sisip
Maluku;SMK;Swasta;Tes;3.40;1;3.38;11;33;71;Sisip
Jawa;Homeschooling;Negeri;Raport;3.85;3.88;3.90;16;48;76;Tidak Sisip
Sumatra;SMA;Swasta;Tes;2.85;2;2.88;5;15;60;Sisip
Kalimantan;SMK;Negeri;Raport;3.55;3.58;1;13;39;73;Tidak Sisip
Sulawesi;Homeschooling;Swasta;Tes;3.05;3.10;3.08;7;21;66;Sisip
Papua;SMA;Negeri;Raport;3.70;3.72;3.68;14;42;74;Tidak Sisip
Bali;SMK;Swasta;Tes;3.15;3.18;3.20;8;24;67;Sisip
Nusa Tenggara;Homeschooling;Negeri;Raport;1;3.35;0;10;30;70;Tidak Sisip
Maluku;SMA;Swasta;Tes;2.90;2.95;2.92;6;18;63;Sisip
Jawa;SMK;Negeri;Raport;3.75;3.78;3.80;15;45;75;Tidak Sisip
Sumatra;Homeschooling;Swasta;Tes;3.25;3.28;3.30;9;27;68;Sisip
Kalimantan;SMA;Negeri;Raport;3.00;3.05;3.02;7;21;64;Tidak Sisip
Sulawesi;SMK;Swasta;Tes;3.60;3.62;3.58;13;39;72;Sisip
Papua;Homeschooling;Negeri;Raport;2.80;2.85;2.82;5;15;61;Tidak Sisip
Bali;SMA;Swasta;Tes;1;3.68;3.70;14;42;74;Sisip
Nusa Tenggara;SMK;Negeri;Raport;3.10;3.15;3.12;8;24;67;Tidak Sisip
Maluku;Homeschooling;Swasta;Tes;3.35;3.38;3.40;11;33;71;Sisip
Jawa;SMA;Negeri;Raport;3.80;3.82;3.85;16;48;76;Tidak Sisip
Sumatra;SMK;Swasta;Tes;1;3.58;3.60;12;36;73;Sisip
Kalimantan;Homeschooling;Negeri;Raport;3.45;3.48;3.50;13;39;72;Tidak Sisip
Sulawesi;SMA;Swasta;Tes;3.20;3.22;3.25;9;27;68;Sisip
Papua;SMK;Negeri;Raport;2.95;1;2.98;7;21;62;Tidak Sisip
Bali;Homeschooling;Swasta;Tes;3.50;3.52;3.55;11;33;70;Sisip
Nusa Tenggara;SMA;Negeri;Raport;3.40;3.42;1;10;30;71;Tidak Sisip
Maluku;SMK;Swasta;Tes;3.05;3.08;3.10;8;24;65;Sisip
Jawa;Homeschooling;Negeri;Raport;3.90;3.92;3.95;17;51;78;Tidak Sisip
Sumatra;SMA;Swasta;Tes;3.30;3.32;3.35;10;30;69;Sisip
Kalimantan;;Negeri;Raport;3.60;0.1;3.65;14;42;74;Tidak Sisip
Sulawesi;Homeschooling;Swasta;Tes;3.15;3.18;3.20;7;21;66;Sisip
Papua;SMA;Negeri;Raport;2.75;2.80;2.78;4;12;60;Tidak Sisip
Bali;SMK;Swasta;Tes;3.45;3.48;3.50;12;36;73;Sisip
Nusa Tenggara;Homeschooling;Negeri;Raport;3.25;3.28;3.30;9;27;69;Tidak Sisip
Maluku;SMA;Swasta;Tes;3.55;3.58;3.60;13;39;72;Sisip
Jawa;SMK;Negeri;Raport;1;3.72;3.75;14;42;74;Tidak Sisip
Sumatra;Homeschooling;Swasta;Tes;3.10;3.12;3.15;8;24;67;Sisip
